x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;y
31.4;21.8;26.61;80.64;59;95;480;2.6;8;1.95;4483.65;4764.2
32.7;20.7;25.69;84.36;58;95;302;13.2;14.5;1.66;4764.2;4500.41
32.8;20.8;25.75;84.28;58;95;324;11;8;1.25;4500.41;4403.66
33.4;21.2;26.19;83.44;56;94;323;10.6;11.3;1.6;4403.66;4296.6
32.3;21.4;26.12;83.42;55;95;327;7.6;8;1.47;4296.6;4297.57
32.3;21.5;25.5;85.56;60;94;282;108.4;9.7;1.57;4297.57;4173.97
31.4;22.6;25.38;85.9;60;94;225;77;8;2.21;4173.97;4019.8
32.4;21.3;26.16;82.23;52;94;373;0;8;1.59;4019.8;4574.64
32.1;20.8;25.76;82.65;55;94;318;2.6;6.4;1.46;4574.64;4403.77
30.5;21.7;24.87;87.05;65;95;253;48.4;8;1.83;4403.77;4393.37
31.7;20.4;24.74;86.15;64;95;217;66.4;8;1.75;4393.37;4270.4
31.6;20.8;25.41;84.21;57;94;257;49.4;8;1.61;4270.4;4000.5
31.2;20.3;23.88;86.71;57;94;204;70.6;6.4;1.85;4000.5;3547.29
31.2;20.8;23.86;88.31;63;95;168;340;8;2.14;3547.29;3843.07
30.8;20.7;24.01;88.03;60;95;181;181.4;8;1.99;3843.07;3662.75
31.5;19.7;23.92;87.61;60;94;209;153.8;4.8;1.56;3662.75;4492.08
30.3;19.7;23.87;86.19;61;94;225;88;11.3;1.64;4492.08;4261.23
30.4;21.1;23.95;85.99;58;94;235;67.6;11.3;1.63;4261.23;4318.15
30.7;19.4;23.63;84.83;51;94;245;11.6;9.7;1.79;4318.15;4925.38
31.1;18.7;23.9;83.04;48;94;310;16.8;9.7;1.96;4925.38;4119.78
31;17.9;24.19;81.13;52;94;355;1.4;9.7;1.83;4119.78;3974.4
31.2;18.4;24.42;80.98;49;94;323;13.8;9.7;2.05;3974.4;3687.67
30.7;17.9;23.95;84.61;49;94;260;42.6;11.3;1.52;3687.67;3454.5
30.6;18.9;24.25;82.83;55;94;328;49.4;9.7;2.11;3454.5;3103.62
32;19.8;24.37;83.33;53;94;297;66;12.9;1.95;3103.62;3047.91
30.7;21;24.16;86.32;55;94;220;63.8;12.9;2.08;3047.91;3495.2
29.8;19.4;23.69;86.57;61;94;204;200;11.3;1.59;3495.2;3937.5
30.3;19.6;24.65;84.91;58;94;265;62.6;12.9;1.88;3937.5;4891.41
31.5;19.1;24.89;78.76;48;94;410;2.8;9.7;2.43;4891.41;4634.19
30.4;19.9;25.04;81.09;55;94;308;13.4;9.7;2.19;4634.19;4732.15
32.1;20.8;26.27;82.07;57;94;335;6.2;12.9;2.69;4732.15;4562.9
